City,State Name,total crime rate (per 1000),Education Ranking ,cost of living index,Housing Budget,Sunshine,Air quailty,Population Density,Military,Latitude,Longitude
Rockford,Illinois,45.01128885,181,87.2,900,Nah,9.8,877,FALSE,42.2596,-89.064
Jackson,Mississippi,52.42592991,182,87.8,900,59,10.5,566,FALSE,32.3157,-90.2125
Shreveport,Louisiana,56.78837254,183,85.8,765,58,9.3,678,FALSE,32.4653,-93.7955
Vallejo,California,48.73753638,184,125.2,2195,Nah,8.4,1539.3,FALSE,38.1125,-122.2342
Modesto,California,41.28991143,185,112.3,1550,Nah,15,1923.9,FALSE,37.6375,-121.0028
Bakersfield,California,45.96990311,186,102.9,1595,Nah,20,979,FALSE,35.3529,-119.0359
Laredo,Texas,20.8669918,187,90.1,1300,Nah,10.2,941.8,FALSE,27.5625,-99.4874
Stockton,California,53.40174232,188,113.6,1672.5,Nah,12.1,1925.2,FALSE,37.9765,-121.3109
Brownsville,Texas,51.41388175,189,87.8,1250,59,9.2,534.4,FALSE,25.9975,-97.458
San Bernardino,California,55.09078744,190,91.3,1500,Nah,14.7,1347,FALSE,34.1416,-117.2943
Santa Maria,California,33.1,191,143,1997.5,Nah,6.7,1786.2,FALSE,34.9333,-120.4431
Salinas,California,27.48768661,192,138.3,2600,Nah,6.7,2564.3,FALSE,36.6883,-121.6317
